상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
만수건강원,식료품 소매,전북특별자치도,군산시,대야면,126.815822909947,35.943173973846
선별공인중개사무소,부동산 서비스,전북특별자치도,전주시 완산구,삼천3동,127.11660364001,35.7916588455826
라곰,기타 간이,전북특별자치도,고창군,고창읍,126.730324592238,35.425786934261
대흥슈퍼,종합 소매,전북특별자치도,전주시 덕진구,팔복동,127.10058759248,35.8630890976187
뷰티월드자원임대,중고 상품 소매,전북특별자치도,정읍시,농소동,126.843185763988,35.5887441805027
전통찻집인사동,비알코올 ,전북특별자치도,정읍시,수성동,126.85624411576,35.5673005993013
내장자동차공업사,자동차 수리·세차,전북특별자치도,정읍시,내장상동,126.892593871414,35.5322327940615
희진미용실,이용·미용,전북특별자치도,김제시,요촌동,126.884332909834,35.8018530433103
가나수산,식료품 소매,전북특별자치도,김제시,요촌동,126.882481288763,35.8046000991619
임지현내과의원,의원,전북특별자치도,전주시 덕진구,진북동,127.136101782979,35.8282205636522
떡내음가득시루떡,기타 간이,전북특별자치도,부안군,진서면,126.608886013408,35.5877249132241
예티오,이용·미용,전북특별자치도,고창군,고창읍,126.71012852979,35.4382864529182
통구비어지곡점,기타 간이,전북특별자치도,군산시,옥산면,126.715248504529,35.9514671874451
워시테리아예수,세탁,전북특별자치도,전주시 완산구,중화산1동,127.130000819264,35.8127707075006
샌드리아만성,기타 간이,전북특별자치도,전주시 덕진구,여의동,127.077881438671,35.842665483754
호식이두마리치킨진북점,기타 간이,전북특별자치도,전주시 덕진구,진북동,127.135436846758,35.82768055944
파트라슈,애완동물·용품 소매,전북특별자치도,익산시,동산동,126.960261641589,35.9326740239645
샬롬패션,섬유·의복·신발 소매,전북특별자치도,익산시,남중동,126.958644364759,35.9527441444917
청보리한우,한식,전북특별자치도,고창군,공음면,126.51496981445,35.37820066295
오띠모,섬유·의복·신발 소매,전북특별자치도,순창군,쌍치면,127.002799551815,35.5005185484347
현아네식당,한식,전북특별자치도,임실군,임실읍,127.282647271377,35.6176534793218
아찌네,주점,전북특별자치도,군산시,나운1동,126.698546726103,35.9684507474941
미라클공인중개사사무소,부동산 서비스,전북특별자치도,전주시 덕진구,인후1동,127.152397810823,35.8426391516186
